state,district,block,school
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,966c3be4-c125-467d-aaff-1eb1cd525923,6cf30880-235e-4ee8-a48e-1a7f27009b43
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629666557952038885
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629708532940838981
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629681283072038889
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629600271564838913
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629603337011238901
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630020331110438977
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630262059827238971
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630015941017638919
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275630164676608038951
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629944348672038887
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629978042368038927
bc75cc99-9205-463e-a722-5326857838f8,2f76dcf5-e43b-4f71-a3f2-c8f19e1fce03,785d676c-9076-49bc-9510-15812843f0b7,01275629713960960038969
